epoch,dice_coef,loss,lr,val_dice_coef,val_loss
0,0.038204822689294815,0.9617843627929688,0.001,0.03669262304902077,0.9633073806762695
1,0.03824644163250923,0.9617426991462708,0.001,0.03673502057790756,0.9632650017738342
2,0.03829078748822212,0.9616982936859131,0.001,0.03677744418382645,0.9632225632667542
3,0.038332559168338776,0.9616565704345703,0.001,0.036815546452999115,0.9631845355033875
4,0.03837127238512039,0.9616177678108215,0.001,0.0368521474301815,0.9631478786468506
